"Percentage of valid molecules: 96.0
"
"Internal Tanimoto similarity: 0.77

"
COc1ccc(-c2ccccc2)cc1C(=O)C1CCCN(C(=O)C2CCCCC2)C1                ,7.86,0.99,405.54,5.36,2.53,0.63
Cc1ccccc1C(=O)N1CCCN(C(=O)C2CCCCC2)C1                            ,7.39,0.99,314.43,3.21,2.12,0.84
CC(=O)C1CCCN(C(=O)C2CCCCN2)C1                                    ,7.61,1.0,238.33,0.96,3.03,0.78
COC(=O)C1CC=CC2=C(O2)C1=O                                        ,6.8,1.0,180.16,0.55,3.97,0.44
CCCCCCc1ccccc1C(=O)C1CCC(C(=O)C2CCCCC2)CC1                       ,7.83,1.0,382.59,6.95,2.35,0.34
CC(=O)C1CCCCC1C(=O)C1CCCN(C(=O)C2CCCCC2)C1C                      ,7.73,1.0,361.53,4.16,3.74,0.76
COCC=Cc1ccc(-c2ccccc2)cc1                                        ,6.62,1.0,224.3,4.01,1.74,0.76
CC(=O)C1CCCN(C(=O)C2CCCO2)C1                                     ,7.56,1.0,225.29,0.99,2.96,0.7
CCC(=O)C1CCCN1C(=O)C1CCCN1C(=O)C1CCCCC1                          ,7.82,0.91,334.46,2.53,2.97,0.79
CC(=O)C1CCCN1C(=O)C1CCCCC1                                       ,7.87,1.0,223.32,2.15,2.4,0.72
CC(=O)C1CCCN(C(=O)C2CCCN2C(=O)C23CCCCC(C2)C3)C1                  ,7.44,1.0,360.5,2.78,4.09,0.78
CCC(=O)N1CCN(C(=O)C2CCCCC2)CC1                                   ,7.79,0.99,252.36,1.65,1.87,0.75
CC(=O)C1CCCN(C(=O)C2CCCCC2)C1                                    ,7.62,1.0,237.34,2.39,2.44,0.74
CC(=O)C1Cc2ccccc2N1C(=O)C1CCCCC1                                 ,8.0,0.98,271.36,3.11,2.59,0.83
CCCCOC(=O)C1CCCN(C(=O)C2CCCCC2)C1                                ,7.48,1.0,295.42,3.15,2.45,0.58
COCc1ccccc1C(=O)N1CCC(C(=O)C2CCCCC2)C1                           ,7.62,0.98,329.44,3.44,2.67,0.83
CC(=O)C1CCCN(C(=O)C2(C)CCCC2)C1                                  ,7.51,1.0,237.34,2.39,2.87,0.74
COc1ccccc1C(=O)C1CCN(C(=O)C2CCCCC2)CC1                           ,7.9,0.99,329.44,3.7,1.94,0.79
COc1ccc(-c2ccccc2)cc1C(=O)N1CCCN(C(=O)C2CCCCC2)CC1               ,7.37,0.98,420.55,4.62,2.02,0.73
CC(=O)C1CCCC1C(=O)C1CCCN1C(=O)C1CCCCC1                           ,7.98,1.0,319.45,3.13,3.39,0.8
CC(=O)c1ccccc1C(=O)C1CCCN(C(=O)C2CCCCC2)C1                       ,7.79,1.0,341.45,3.89,2.58,0.78
CC(=O)C1=C(C(=O)C2CCCCC2)CC1=CC(=O)N1CCN(Cc2ccccc2)CC1           ,7.39,1.0,420.55,3.7,2.72,0.66
CN1CCCC1C(=O)CCCCC1CCC(C(=O)C2CCCC2)C(Cc2ccccc2)C1               ,7.38,1.0,437.67,6.24,3.75,0.41
CC(=O)C1CCCC1C(=O)C1CCCN1C(=O)C1CCCN1C(=O)C1CCCC1                ,7.66,0.99,402.54,2.73,3.67,0.71
CC(=O)C1CCCCC1C(=O)C1CCCN(C(=O)C2CCCCC2)C1                       ,7.77,1.0,347.5,3.77,3.4,0.78
Cc1ccc(-c2ccccc2)cc1C(=O)N1CCC(C(=O)C2CCCCC2)CC1                 ,7.58,1.0,389.54,5.66,2.12,0.68
CC(=O)C1CCCCN(C(=O)C2CCCCC2)C1                                   ,7.61,1.0,251.37,2.78,2.44,0.76
Cc1ccccc1C(=O)N1CCN(C(=O)C2CCCCC2)CC1                            ,7.79,0.99,314.43,2.86,1.8,0.84
CN(C)C(=O)N1CCCC1C(=O)C1CCCC1                                    ,7.35,0.78,238.33,1.89,2.85,0.74
Cc1cccc(-c2ccc(C(=O)C3CCCN(CCCO)C3=O)cc2)c1                      ,7.27,1.0,351.45,3.47,2.64,0.64
